,enzyme,index_source,index_target
0,B4GALT,0,3
1,GNTII,0,5
2,A6FUCT,0,2
3,GNTIV,0,4
4,GNTII,2,10
5,GNTIV,2,9
6,GNTV,2,8
7,B4GALT,3,17
8,A3SIAT,3,7
9,B4GALT,3,18
10,A6FUCT,4,11
11,B4GALT,4,12
12,A6FUCT,4,14
13,GNTIV,4,9
14,B4GALT,5,15
15,B4GALT,5,10
16,A6SIAT,5,13
17,IGNT,5,16
18,GNTII,5,14
19,B4GALT,6,19
20,A6SIAT,6,1
21,B4GALT,8,45
22,B4GALT,8,20
23,GNTV,8,40
24,B4GALT,9,28
25,A3SIAT,9,26
26,A3SIAT,9,25
27,B4GALT,10,30
28,B4GALT,10,29
29,A6SIAT,10,27
30,GNTV,10,28
31,A6FUCT,11,21
32,B4GALT,11,41
33,A3SIAT,11,31
34,GNTV,11,47
35,B4GALT,12,31
36,IGNT,12,22
37,GNTIV,12,42
38,A3SIAT,13,36
39,A6SIAT,13,34
40,B4GALT,13,23
41,B4GALT,13,43
42,A3SIAT,14,35
43,IGNT,14,37
44,A6SIAT,14,32
45,GNTII,14,33
46,A6FUCT,14,28
47,A6SIAT,15,34
48,B4GALT,15,24
49,IGNT,15,48
50,B4GALT,15,44
51,B4GALT,16,38
52,A6SIAT,16,36
53,A3SIAT,16,39
54,MANII,18,46
55,A3SIAT,21,53
56,A6SIAT,22,54
57,B4GALT,23,57
58,A3SIAT,23,60
59,B4GALT,24,58
60,B4GALT,25,62
61,B4GALT,25,49
62,IGNT,25,82
63,B4GALT,25,99
64,A3SIAT,26,62
65,A3SIAT,26,50
66,B4GALT,26,83
67,A3SIAT,27,51
68,B4GALT,27,67
69,B4GALT,27,65
70,IGNT,27,84
71,A6SIAT,28,64
72,B4GALT,28,66
73,B4GALT,28,63
74,B4GALT,28,68
75,A3SIAT,29,102
76,A3SIAT,29,52
77,A6SIAT,29,85
78,B4GALT,29,65
79,A6SIAT,30,70
80,B4GALT,30,67
81,B4GALT,30,69
82,GNTV,31,53
83,B4GALT,31,87
84,B4GALT,31,86
85,B4GALT,31,101
86,B4GALT,31,54
87,IGNT,32,74
88,GNTV,32,88
89,B4GALT,32,72
90,A3SIAT,32,55
91,B4GALT,32,71
92,A6SIAT,33,56
93,B4GALT,33,75
94,B4GALT,33,71
95,A3SIAT,33,73
96,B4GALT,33,89
97,IGNT,34,103
98,A3SIAT,34,90
99,A3SIAT,34,91
100,A6SIAT,34,57
101,A6SIAT,34,58
102,IGNT,35,72
103,A3SIAT,35,73
104,B4GALT,35,59
105,B4GALT,35,92
106,B4GALT,36,93
107,GNTV,36,78
108,B4GALT,36,60
109,A6SIAT,36,76
110,B4GALT,37,77
111,A6SIAT,37,79
112,B4GALT,37,74
113,A3SIAT,37,75
114,B4GALT,38,61
115,A6SIAT,38,94
116,GNTV,38,76
117,B4GALT,38,80
118,GNTV,39,81
119,B4GALT,39,96
120,B4GALT,39,95
