"","139_","148_","154_","164_","165_","173_","176_","182_","184_","187_","188_","189_","190_","195_","196_","197_","199_","200_","201_"
"139_",1,-0.414914962415744,-0.13407502310661,0.346688165461672,0.293573056073192,0.489119335994353,0.205546572520941,-0.140565045759053,0.0757658167373253,0.0133333339433743,0.198817337878715,0.0363678615636914,-0.0429256593554801,0.13291675300256,-0.229140806434243,-0.121275047202105,0.030902409044802,-0.0806539008980225,-0.0860299776000967
"148_",-0.414914962415744,1,-0.210991425839587,-0.122993339698371,-0.089064824869758,0.504498211326557,-0.106808518150706,0.311711827446112,0.0260410135082782,0.272479902103058,0.149267370268224,-0.0150421806558461,-0.0405956840697631,0.0695614810202108,-0.168051112649167,0.0486015034986296,-0.0658520036159019,0.0923330938388121,-0.0315687582866351
"154_",-0.13407502310661,-0.210991425839587,1,0.0132024330961984,0.0296202047712836,-0.127187742990417,0.421545184030433,0.59128887061,-0.200252962846063,0.172718119559399,0.20095701751515,0.131009930162371,0.211952021270131,-0.0481426608717955,-0.107789358386507,0.0187011898835661,-0.101348652895205,-0.0942996445909154,-0.0737760428407828
"164_",0.346688165461673,-0.122993339698371,0.0132024330961984,1,-0.182509998344374,0.0390001440848978,-0.0617992851072908,0.00902968517062412,0.430642216503385,0.499350152404966,-0.184382863755253,0.192920340673269,-0.095658551267522,-0.0857362816224995,0.0859161675409949,0.0526451697643938,0.0434705491992431,-0.0641352980779232,-0.118360725406245
"165_",0.293573056073192,-0.0890648248697579,0.0296202047712835,-0.182509998344374,1,-0.156005175904279,0.0331254767235561,0.0387967862371605,0.445624567281693,0.0886632663936564,0.0301287497652229,-0.120634184841632,0.249220052275509,-0.00934844272824349,0.113860287400549,0.0480568965263244,-0.212147276701838,0.335321832458129,-0.0777229474955125
"173_",0.489119335994354,0.504498211326557,-0.127187742990417,0.0390001440848978,-0.156005175904278,1,-0.00741163789764601,0.0484479632388395,-0.0687950371854935,0.259126793527572,0.520850395989394,-0.0842837834755591,0.0459396866700219,0.20804415297795,-0.22631482646811,-0.0327303498414139,0.0767076554424643,0.0976337344721914,-0.0149096322126599
"176_",0.205546572520941,-0.106808518150706,0.421545184030433,-0.0617992851072908,0.0331254767235563,-0.00741163789764603,1,-0.0567240421853957,-0.181717231775523,0.00707723439835362,-0.0425788709284633,0.315265903018793,0.294679300159601,0.24429997208816,0.00561629658218446,0.0293885423905293,0.0539258990589965,-0.036403836307669,-0.116740293843401
"182_",-0.140565045759053,0.311711827446112,0.59128887061,0.00902968517062421,0.0387967862371605,0.0484479632388395,-0.0567240421853957,1,0.0668928416693258,-0.151625062615629,-0.111854172136993,-0.0302715550201498,-0.119921014044218,0.356992969498467,0.0747493287615315,-0.0449097818990605,0.163834394157782,0.0852916290719903,-0.0391731217277923
"184_",0.0757658167373252,0.0260410135082779,-0.200252962846063,0.430642216503385,0.445624567281693,-0.0687950371854935,-0.181717231775523,0.0668928416693258,1,-0.203704809035584,-0.0205090795276016,0.129739047037708,0.0322862557111628,-0.0312264282462256,-0.043211600652248,0.329466523034522,0.0845244425791486,-0.0455086147316469,0.0828377824491015
"187_",0.0133333339433742,0.272479902103058,0.172718119559399,0.499350152404966,0.0886632663936565,0.259126793527571,0.0070772343983536,-0.151625062615629,-0.203704809035584,1,-0.405075155355518,0.0380923578790438,-0.0580064143743425,-0.142127424125673,0.622189403080223,-0.0603947389678497,0.0747479863598176,0.0756173767807092,0.2117052941206
