Unnamed: 0,m/z,Composition,Glycan Structure,Name,Glycoprofiles
56,993,Hex(1)HexNAc(4),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:x_HEX_x:x
5s:n_acetyl
6b:b_dglc_HEX_x:x
7s:n_acetyl
8b:b_dgal_HEX_x:x
9s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8d(2+1)9n
",993_2,"['P2TS', 'P4TS', 'P4TI']"
57,1016,Hex(1)HexNAc(3)dHex(1)Sul(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:a_dgal_HEX_x:x
6s:n_acetyl
7b:b_dglc_HEX_x:x
8s:sulfate
9s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:5d(2+1)6n
6:1o(6+1)7d
7:7o(_1+1)8n
8:7d(2+1)9n
",1016_1,"['P2TS', 'P4TS']"
58,1016,Hex(1)HexNAc(3)dHex(1)Sul(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:b_dglc_HEX_x:x
6s:sulfate
7s:n_acetyl
8b:b_dgal_HEX_x:x
9s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5o(_1+1)6n
6:5d(2+1)7n
7:5o(4+1)8d
8:8d(2+1)9n
",1016_2,['P1TS']
59,1032,Hex(2)HexNAc(3)Sul(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:x_HEX_x:x
5s:n_acetyl
6b:b_dglc_HEX_x:x
7s:sulfate
8s:n_acetyl
9b:b_dgal_HEX_x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6o(_1+1)7n
7:6d(2+1)8n
8:6o(4+1)9d
",1032,['P4TS']
60,1040,NeuAc(1)Hex(2)HexNAc(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_dgro_dgal_NON_x:x|1:a|2:keto|3:d
5s:n_acetyl
6b:b_dglc_HEX_x:x
7s:n_acetyl
8b:b_dgal_HEX_x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
",1040_1,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA_FS', 'P6TA_FG', 'P6TA_AS', 'P6TA_AG', 'P5TA_AS', 'P7TA_AS', 'P8H', 'P9H', 'P10H']"
61,1040,NeuAc(1)Hex(2)HexNAc(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5s:n_acetyl
6b:b_dgal_HEX_x:x
7b:a_dgro_dgal_NON_x:x|1:a|2:keto|3:d
8s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(3+2)7d
7:7d(5+1)8n
",1040_2,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P6TA_FS', 'P5TA_AS', 'P8H', 'P10H']"
62,1041,Hex(2)HexNAc(2)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:b_dglc_HEX_x:x
6b:x_lgal_HEX_x:x|6:d
7b:x_dgal_HEX_x:x
8s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5o(_1+1)6d
6:5o(_1+1)7d
7:5d(2+1)8n
",1041_1,['P7TA_AG']
63,1041,Hex(2)HexNAc(2)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:b_dglc_HEX_x:x
6s:n_acetyl
7b:b_dgal_HEX_x:x
8b:a_lgal_HEX_x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:5d(2+1)6n
6:5o(3+1)7d
7:7o(2+1)8d
",1041_2,"['P1TS', 'P9H']"
64,1041,Hex(2)HexNAc(2)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:b_dglc_HEX_x:x
6s:n_acetyl
7b:b_dgal_HEX_x:x
8b:a_lgal_HEX_x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(3+1)7d
7:7o(2+1)8d
",1041_3,['P1TS']
65,1041,Hex(2)HexNAc(2)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:b_dglc_HEX_x:x
6b:x_lgal_HEX_x:x|6:d
7b:x_dgal_HEX_x:x
8s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5o(_1+1)6d
6:5o(_1+1)7d
7:5d(2+1)8n
",1041_4,"['P6TA_FG', 'P5TA_AS', 'P7TA_AG']"
66,1041,Hex(2)HexNAc(2)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:b_dglc_HEX_x:x
6s:n_acetyl
7b:b_dgal_HEX_x:x
8b:a_lgal_HEX_x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7o(2+1)8d
",1041_5,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA_FS', 'P6TA_FG', 'P6TA_AS', 'P6TA_AG', 'P5TA_AS', 'P5TA_AG', 'P7TA_AS', 'P7TA_AG', 'P8H', 'P9H', 'P10H']"
67,1057,Hex(3)HexNAc(2)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:a_dgal_HEX_x:x
6b:b_dglc_HEX_x:x
7s:n_acetyl
8b:b_dgal_HEX_x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
",1057_1,"['P1TI', 'P5TA_AS', 'P10H']"
68,1057,Hex(3)HexNAc(2)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5b:b_dgal_HEX_x:x
6b:a_lgal_HEX_x:x|6:d
7b:a_dgal_HEX_x:x
8s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4o(_1+1)5d
5:5o(2+1)6d
6:5o(3+1)7d
7:4d(2+1)8n
",1057_2,"['P1TI', 'P4TI', 'P5TA_AS', 'P5TA_AG', 'P9H', 'P10H']"
69,1057,Hex(3)HexNAc(2)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:b_dglc_HEX_x:x
6b:b_dgal_HEX_x:x
7b:a_dgal_HEX_x:x
8s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5o(_1+1)6d
6:6o(3+1)7d
7:5d(2+1)8n
",1057_3,"['P4TI', 'P5TA_AG', 'P9H']"
70,1081,NeuAc(1)Hex(1)HexNAc(3),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_dgro_dgal_NON_x:x|1:a|2:keto|3:d
5s:n_acetyl
6b:b_dglc_HEX_x:x
7s:n_acetyl
8b:b_dgal_HEX_x:x
9s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8d(2+1)9n
",1081_1,['P1TS']
71,1081,NeuAc(1)Hex(1)HexNAc(3),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dglc_HEX_x:x
4b:x_dgal_HEX_x:x
5b:a_dgro_dgal_NON_x:x|1:a|2:keto|3:d
6s:n_acetyl
7s:n_acetyl
8b:b_dglc_HEX_x:x
9s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(_1+1)4d
4:4o(3+2)5d
5:5d(5+1)6n
6:3d(2+1)7n
7:1o(6+1)8d
8:8d(2+1)9n
",1081_2,['P10H']
72,1082,Hex(1)HexNAc(3)dHex(2),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dglc_HEX_x:x
4s:n_acetyl
5b:b_dglc_HEX_x:x
6b:x_lgal_HEX_x:x|6:d
7b:x_dgal_HEX_x:x
8b:a_lgal_HEX_x:x|6:d
9s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:1o(6+1)5d
5:5o(_1+1)6d
6:5o(_1+1)7d
7:7o(2+1)8d
8:5d(2+1)9n
",1082,['P2TS']
73,1098,Hex(2)HexNAc(3)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:x_dglc_HEX_x:x
5s:n_acetyl
6b:b_dgal_HEX_x:x
7b:a_lgal_HEX_x:x|6:d
8b:a_dgal_HEX_x:x
9s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(_1+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(2+1)7d
7:6o(3+1)8d
8:8d(2+1)9n
",1098_1,"['P1TS', 'P1TI', 'P2TS', 'P8H']"
74,1098,Hex(2)HexNAc(3)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5s:n_acetyl
6b:b_dgal_HEX_x:x
7b:a_lgal_HEX_x:x|6:d
8b:a_dgal_HEX_x:x
9s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(2+1)7d
7:6o(3+1)8d
8:8d(2+1)9n
",1098_2,"['P1TS', 'P1TI', 'P2TS', 'P4TS', 'P4TI', 'P6TA_FG', 'P6TA_AS', 'P6TA_AG', 'P5TA_AS', 'P5TA_AG', 'P7TA_AG', 'P8H', 'P9H']"
75,1098,Hex(2)HexNAc(3)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:x_dglc_HEX_x:x
5b:x_lgal_HEX_x:x|6:d
6b:x_dgal_HEX_x:x
7s:n_acetyl
8b:b_dglc_HEX_x:x
9s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(_1+1)4d
4:4o(_1+1)5d
5:4o(_1+1)6d
6:4d(2+1)7n
7:1o(6+1)8d
8:8d(2+1)9n
",1098_3,"['P6TA_FS', 'P10H']"
76,1098,Hex(2)HexNAc(3)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:a_dgal_HEX_x:x
6s:n_acetyl
7b:b_dglc_HEX_x:x
8s:n_acetyl
9b:b_dgal_HEX_x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:5d(2+1)6n
6:1o(6+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
",1098_4,"['P1TI', 'P2TS', 'P4TI', 'P6TA_FG', 'P6TA_AS', 'P6TA_AG', 'P5TA_AS', 'P5TA_AG', 'P7TA_AG', 'P8H']"
77,1098,Hex(2)HexNAc(3)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_dglc_HEX_x:x
5s:n_acetyl
6b:b_dglc_HEX_x:x
7s:n_acetyl
8b:b_dgal_HEX_x:x
9b:a_lgal_HEX_x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8o(2+1)9d
",1098_5,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P6TA_FS', 'P6TA_FG', 'P6TA_AS', 'P5TA_AS', 'P5TA_AG', 'P7TA_AG', 'P8H', 'P10H']"
78,1098,Hex(2)HexNAc(3)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:b_dglc_HEX_x:x
6s:n_acetyl
7b:b_dgal_HEX_x:x
8b:x_HEX_x:x
9s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7o(_1+1)8d
8:8d(2+1)9n
",1098_6,"['P3TS', 'P6TA_AG', 'P7TA_AG', 'P8H', 'P10H']"
79,1098,Hex(2)HexNAc(3)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:b_dglc_HEX_x:x
6s:n_acetyl
7b:b_dgal_HEX_x:x
8b:x_HEX_x:x
9s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7o(_1+1)8d
8:8d(2+1)9n
",1098_7,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA_FS', 'P6TA_FG', 'P6TA_AS', 'P6TA_AG', 'P5TA_AS', 'P5TA_AG']"
80,1114,Hex(3)HexNAc(3),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5b:x_dgal_HEX_x:x
6s:n_acetyl
7b:b_dglc_HEX_x:x
8b:x_dgal_HEX_x:x
9s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4o(_1+1)5d
5:4d(2+1)6n
6:1o(6+1)7d
7:7o(_1+1)8d
8:7d(2+1)9n
",1114_1,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA_FS', 'P6TA_FG', 'P6TA_AS', 'P6TA_AG', 'P5TA_AG', 'P8H', 'P9H', 'P10H']"
81,1114,Hex(3)HexNAc(3),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5s:n_acetyl
6b:b_dgal_HEX_x:x
7b:b_dglc_HEX_x:x
8s:n_acetyl
9b:b_dgal_HEX_x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(3+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
",1114_2,"['P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA_FS', 'P6TA_FG', 'P8H', 'P9H']"
82,1114,Hex(3)HexNAc(3),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5s:n_acetyl
6b:b_dgal_HEX_x:x
7b:b_dglc_HEX_x:x
8s:n_acetyl
9b:b_dgal_HEX_x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(3+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
",1114_3,"['P3TS', 'P8H']"
83,1121,Hex(2)HexNAc(2)dHex(2)Sul(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:b_dglc_HEX_x:x
6s:n_acetyl
7b:b_dgal_HEX_x:x
8b:a_lgal_HEX_x:x|6:d
9s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7o(2+1)8d
8:5o(6+1)9n
",1121,"['P1TS', 'P1TI', 'P2TS', 'P4TS', 'P7TA_AS']"
84,1139,Hex(1)HexNAc(4)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:a_lgal_HEX_x:x|6:d
5b:a_dgal_HEX_x:x
6s:n_acetyl
7b:b_dglc_HEX_x:x
8s:n_acetyl
9b:b_dgal_HEX_x:x
10s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:5d(2+1)6n
6:1o(6+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
9:9d(2+1)10n
",1139,"['P1TI', 'P4TI', 'P7TA_AG']"
85,1155,Hex(2)HexNAc(4),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:x_HEX_x:x
5s:n_acetyl
6b:b_dglc_HEX_x:x
7s:n_acetyl
8b:b_dgal_HEX_x:x
9b:a_dglc_HEX_x:x
10s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8o(4+1)9d
9:9d(2+1)10n
",1155_1,"['P1TS', 'P1TI', 'P3TS', 'P2TS', 'P4TS', 'P4TI', 'P6TA_FS', 'P6TA_FG', 'P6TA_AS', 'P6TA_AG', 'P5TA_AS', 'P5TA_AG', 'P7TA_AG', 'P8H', 'P9H', 'P10H']"
86,1155,Hex(2)HexNAc(4),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:x_HEX_x:x
5s:n_acetyl
6b:b_dglc_HEX_x:x
7s:n_acetyl
8b:b_dgal_HEX_x:x
9b:x_dglc_HEX_x:x
10s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(_1+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8o(_1+1)9d
9:9d(2+1)10n
",1155_2,"['P4TS', 'P4TI', 'P5TA_AG']"
87,1178,Hex(2)HexNAc(3)dHex(1)Sul(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:x_HEX_x:x
5s:n_acetyl
6b:b_dglc_HEX_x:x
7s:n_acetyl
8b:b_dgal_HEX_x:x
9b:a_lgal_HEX_x:x|6:d
10s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8o(2+1)9d
9:6o(6+1)10n
",1178,['P4TS']
88,1186,NeuAc(1)Hex(2)HexNAc(2)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5s:n_acetyl
6b:a_lgal_HEX_x:x|6:d
7b:b_dgal_HEX_x:x
8b:a_dgro_dgal_NON_x:x|1:a|2:keto|3:d
9s:n_acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(3+1)6d
6:4o(4+1)7d
7:7o(3+2)8d
8:8d(5+1)9n
",1186_1,"['P1TI', 'P4TS', 'P4TI', 'P6TA_FS', 'P6TA_AG', 'P5TA_AS', 'P8H', 'P9H', 'P10H']"
89,1186,NeuAc(1)Hex(2)HexNAc(2)dHex(1),"RES
1b:x_dgal_HEX_x:x
2s:n_acetyl
3b:b_dgal_HEX_x:x
4b:b_dglc_HEX_x:x
5s:n_acetyl
6b:b_dgal_HEX_x:x
7b:a_dgro_dgal_NON_x:x|1:a|2:keto|3:d
8s:n_acetyl
9b:a_lgal_HEX_x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(3+1)6d
6:6o(3+2)7d
7:7d(5+1)8n
8:4o(4+1)9d
",1186_2,"['P1TS', 'P2TS', 'P10H']"
